time_at_cal,major,coding_exp_words,coding_exp_scale,cal_fav,piercings,pets_and_sibs,diet,prof_label,study_place,olympics,season,mts_beach,coffee_tea,tech_relationships,climate,crypto,ai,covid,fire_alarm,election,hotdogs,horse_duck,is_artist,is_comp_sci,is_entrepreneur,is_humanist,is_nat_sci,is_other,is_soc_sci
This is my first semester!,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",7,I love the amount of boba places here.,0,2 Siblings,I eat both plants and animals.,Other,My dorm,Curling,Fall,In the mountains,Tea,8,7,1,5,0,0.7829847613,0.03918349573,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,COMMUNITY!!!! AND SPIRIT,2,3,I eat both plants and animals.,Artist,SLC,Bobsled/Luge/Skeleton,Summer,In the mountains,Coffee,7,6,8,7,0.5,0.5,0.02,Yes,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Ecosystem Management and Forestry,Some. I've had to write code for one or two classes and am comfortable with it.,6,The people!,0,2 sisters,I eat both plants and animals.,Natural Scientist,Don't know yet,Nordic skiing,Spring,In the mountains,Tea,7,6,4,5,0.6,0.02,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Econ,Very little. I've just dipped my toe in.,2,Various courses and clubs,0,1 younger brother,I eat both plants and animals.,Entrepreneur,Moffitt Library,Ice skating,Fall,At the beach,Coffee,3,2,4,9,0.7,0.1,NA,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Environmental Economics and Policy,None.,1,There are so many resources and opportunities.,0,3,I eat both plants and animals.,Social Scientist,NA,Ice skating,Fall,In the mountains,Tea,6,6,8,8,NA,NA,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Business Administration,Very little. I've just dipped my toe in.,2,The weather,0,1,I eat both plants and animals.,Computational Scientist,My bed in my dorm,Snowboarding,Winter,In the mountains,Tea,6,5,2,5,0.15,0.65,NA,No,Horse-sized duck,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Ecosystem Management & Forestry,None.,1,I love the people I have met and the walkability!,4,8,I eat only plants.,Natural Scientist,Dorms,I am not excited to watch the Olympics.,Fall,In the mountains,Coffee,4,7,5,7,0.7,0.85,0.63,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
This is my first semester!,Plant biology and genetics,None.,2,My dorm.,0,0,I eat both plants and animals.,Entrepreneur,East Asian library,Ice skating,Summer,At the beach,I don't drink either,6,8,7,7,0,0,0.05,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Econ/Pre Haas,None.,1,Fast paced community,0,1 sibling,I eat only plants.,Entrepreneur,Main Stacks,I am not excited to watch the Olympics.,Summer,In the mountains,Coffee,2,4,10,5,0.8,0.3,0.02,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my first year.,I plan in majoring in Business Administration.,None.,1,I enjoy the big buildings and the architecture.,0,I have 2 pets and 1 sibling.,I eat both plants and animals.,Entrepreneur,I like to study in dorm living room.,Snowboarding,Summer,At the beach,Tea,4,6,8,5,NA,NA,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
