store_id,chain,comp_owned,state,region,NJShore,num_callbacks,num_ft_employees,num_pt_employees,num_managers,starting_wage,months_to_first_raise,first_raise_amt,bonus,pct_affected,employee_benefit,opening_hour,hours_open,price_soda,price_fries,price_entree,num_registers,num_reg_11am,type_2nd_intvw,status_2nd_intvw,date_2nd_intvw,num_callbacks_2,num_ft_employees_2,num_pt_employees_2,num_managers_2,starting_wage_2,months_to_first_raise_2,first_raise_amt_2,special,employee_benefit_2,opening_hour_2,hours_open_2,price_soda_2,price_fries_2,price_entree_2,num_registers_2,num_reg_11am_2
369,Burger King,1,NJ,Northern NJ,0,1,0,15,4,4.35,18,0.12,0,87,reduced price meals,7,15,1.17,1.06,1.17,3,2,personal,closed (permanent),4/8/01,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Wendys,1,NJ,Northern NJ,0,0,8,19,4,5,26,0.2,0,NA,reduced price meals,10.5,11.5,0.95,0.85,1.06,2,2,phone,completed,12/25/74,NA,0,30,3,5.05,26,0.18,0,reduced price meals,10.5,12.5,1,0.9,2.11,2,2
47,Burger King,0,PA,Southeastern PA,0,2,25,15,NA,4.5,4,0.17,0,75,reduced price meals,6,17,1.05,0.86,0.86,3,3,phone,completed,2/28/74,NA,0,45,2,4.25,NA,NA,0,reduced price meals,6,18,1.05,0.86,0.86,3,NA
84,Burger King,0,NJ,Central NJ,0,3,4,30,5,4.5,26,0.15,0,50,reduced price meals,7,16,1.04,0.85,0.91,4,2,phone,completed,10/21/75,NA,12,30,5,5.05,52,0.2,0,reduced price meals,7,16,1.05,0.9,0.94,3,3
265,Burger King,0,NJ,Southern NJ,0,3,0,20,1,4.25,26,0.15,0,100,reduced price meals,7,16,1.02,0.88,0.94,3,3,personal,closed (permanent),8/21/02,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,Wendys,1,PA,Northeastern PA,0,0,12,15,3,4.5,13,0.15,1,37,reduced price meals,10,12,0.91,0.84,0.84,2,2,phone,completed,12/25/74,NA,NA,NA,5,NA,NA,NA,0,reduced price meals,10,12,1.01,0.9,0.79,2,2
288,Roy Rogers,1,NJ,Southern NJ,0,3,0,20,3,4.75,NA,0.25,0,15,reduced price meals,6,16,1.02,0.95,0.95,6,4,phone,completed,9/16/74,NA,5,9,3,5.05,19,0.15,0,reduced price meals,6,16,1.01,1.01,0.89,5,2
443,Wendys,0,PA,Southeastern PA,0,0,4,19,4,4.25,4,0.25,0,95,reduced price meals,10.5,11.5,0.89,0.79,1.8,2,2,phone,completed,12/25/74,NA,5,20,4,4.35,17,0.18,0,reduced price meals,10.5,11.5,1,0.8,1.81,2,2
385,Burger King,0,NJ,Northern NJ,0,2,16,14,3,4.25,NA,0.15,1,25,free meals,7,17,NA,NA,NA,3,2,personal,completed,4/8/01,4,15,14,3,5.05,28,0.1,0,reduced price meals,7,17,1.16,1.22,0.41,3,3
514,Roy Rogers,0,PA,Northeastern PA,0,0,5,20,3,4.5,26,0.25,0,25,reduced price meals,6,16,0.94,0.9,0.94,5,3,phone,completed,6/8/74,1,23,16,3,4.25,10,0.2,0,reduced price meals,6,16,0.95,0.95,1.05,6,4
450,Burger King,0,PA,Northeastern PA,0,0,2,21,3,4.75,13,0.15,0,50,reduced price meals,6.5,16.5,0.97,0.82,0.84,3,3,phone,completed,5/8/76,2,27.5,8,3,4.75,13,0.25,1,reduced price meals,6,18,0.91,0.84,0.86,3,3
65,Burger King,0,NJ,Northern NJ,0,5,0,20,4,4.8,52,0.25,0,90,reduced price meals,6.5,15.5,1.06,0.85,1.11,3,3,personal,closed (renovations),11/29/02,3,NA,NA,3,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
